,name,average_review,review_count,price_range,street_address,restaurant_type
257,Nix,4.7113,1130,$31 to $50,"72 University Place New York, NY  10003",Vegetarian
258,Lupa,4.74526,4526,$31 to $50,"170 Thompson Street New York, NY  10012",Italian
259,Claudette,4.6987,987,$30 and under,"24 Fifth Avenue New York, NY  10011",French
260,Empellon Taqueria,4.61432,1432,$31 to $50,"230 West 4th New York, NY  10014",Mexican
261,Perry St,4.83657,3657,$31 to $50,"176 Perry Street New York, NY  10014",Contemporary American
262,Boucherie - West Village,4.4546,546,$31 to $50,"99 7th Avenue South New York, NY  10014",French
263,Indochine,4.61428,1428,$50 and over,"430 Lafayette Street New York, NY  10003",Vietnamese
264,El Vez New York,4.6747,747,$30 and under,"259 Vesey Street New York, NY  10282",Mexican
265,Public Kitchen,4.5298,298,$31 to $50,"215 Chrystie St New York, NY  10002-1239","Global, International"
266,Tamarind - Tribeca,4.72458,2458,$31 to $50,"99 Hudson Street New York, NY  10013",Indian
267,The Stanton Social,4.6515,5150,$31 to $50,"99 Stanton Street New York, NY  10002",Tapas / Small Plates
268,Hearth,4.7227,2270,$50 and over,"403 East 12 Street New York, NY  10009",American
269,Sarabeth's TriBeCa,4.41598,1598,$30 and under,"339 Greenwich Street New York, NY  10013",American
270,Leuca,4.6491,491,$31 to $50,"111 N 12th St Brooklyn, NY  11249",Italian
271,Sant Ambroeus SoHo,4.8257,257,$31 to $50,"265 Lafayette Street New York, NY  10012",Italian
272,Il Cantinori,4.71431,1431,$50 and over,"32 East 10th Street New York, NY  10003",Italian
273,MR CHOW - TriBeca,4.5152,1520,$50 and over,"121 Hudson Street New York, NY  10013",Chinese
274,Narcissa Restaurant,4.6759,759,$31 to $50,"25 Cooper Square New York, NY  10003",Contemporary American
275,Il Mulino New York - Downtown,4.883,830,$50 and over,"86 West 3rd Street New York, NY  10012",Italian
276,Sant Ambroeus - West Village,4.7505,505,$31 to $50,"259 West 4th Street New York, NY  10014",Italian
277,Pig and Khao,4.7979,979,$31 to $50,"68 Clinton Street New York, NY  10002",Southeast Asian
278,Little Park,4.678,780,$31 to $50,"85 West Broadway New York, NY  10007",Contemporary American
279,Neta,4.6569,569,$50 and over,"61 West 8th Street New York, NY  10011",Japanese
280,Tutto Il Giorno -Tribeca,4.7315,315,$50 and over,"114 Franklin Street New York, NY  10013",Italian
281,Bobo Restaurant,4.71108,1108,$30 and under,"181 West 10th Street New York, NY  10014",French
282,Rafele,4.51325,1325,$31 to $50,"29 Seventh Ave. South New York, NY  10014",Italian
283,Essex,4.32167,2167,$30 and under,"119 Rivington St New York, NY  10002",Fusion / Eclectic
284,Tiny's & the Bar Upstairs,4.6663,663,$31 to $50,"135 West Broadway New York, NY  10002",Contemporary American
285,BAAR BAAR,4.5115,115,$31 to $50,"13 E 1st St New York, NY  10003",Contemporary Indian
286,The Musket Room,4.8768,768,$31 to $50,"265 Elizabeth St. CI New York, NY  10012",International
287,Delmonico's,4.73792,3792,$50 and over,"56 Beaver Street New York, NY  10004",Steakhouse
288,Root & Bone,4.6704,704,$31 to $50,"200 E 3rd Street New York, NY  10009",Southern
289,Bâtard,4.6913,913,$50 and over,"239 West Broadway New York, NY  10013",Modern European
290,Left Bank NYC,4.6615,615,$31 to $50,"117 Perry Street New York, NY  10014",American
291,American Cut Steakhouse,4.6791,791,$31 to $50,"363 Greenwich Street New York, NY  10013",Steakhouse
292,Khe-Yo,4.764,640,$31 to $50,"157 Duane St. New York, NY  10013",Laotian
293,Toloache Thompson St.,4.5381,381,$31 to $50,"205 Thompson St. New York, NY  10012",Mexican
294,Nobu Downtown | Bar & Lounge,4.733,33,$50 and over,"195 Broadway New York, NY  10007",Japanese
295,Feast,4.6554,554,$31 to $50,"102 3rd Ave. New York, NY  10003",Contemporary American
296,Temple Court,4.6392,392,$31 to $50,"5 Beekman Street New York, NY  10003",American
297,Pera Soho,4.357,570,$31 to $50,"54 Thompson Street New York, NY  10012",Mediterranean
